Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
476,tt0073756,2026-07-28,2026-07-28,,"The Street Fighter","Gekitotsu! Satsujin ken",https://www.imdb.com/title/tt0073756/,Movie,6.9,91,1974,"Action, Crime, Thriller",6237,1974-11-01,"Shigehiro Ozawa",,
477,tt0202114,2026-07-28,2026-07-28,,"Wolf Guy","Urufu gai: Moero ôkami-otoko",https://www.imdb.com/title/tt0202114/,Movie,6.3,86,1975,"Action, Horror",1307,1975-04-05,"Kazuhiko Yamaguchi",,
478,tt0367975,2026-08-02,2026-08-02,,"Lisbela and the Prisoner","Lisbela e o Prisioneiro",https://www.imdb.com/title/tt0367975/,Movie,7.6,106,2003,"Comedy, Romance",8082,2003-08-22,"Guel Arraes, Ligia Feliciano",7,2026-08-01
479,tt33043892,2026-08-04,2026-08-04,,"Dexter: Resurrection","Dexter: Resurrection",https://www.imdb.com/title/tt33043892/,TV Series,9.0,50,2025,"Crime, Drama, Mystery, Thriller",153271,2025-07-11,,,
480,tt0804484,2026-08-13,2026-08-13,,"Foundation","Foundation",https://www.imdb.com/title/tt0804484/,TV Series,7.6,60,2021,"Drama, Sci-Fi",128351,2021-09-24,,,
481,tt4158110,2026-08-14,2026-08-14,,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110/,TV Series,8.5,45,2015,"Crime, Drama, Thriller",473132,2015-06-24,,,
482,tt0077416,2026-08-15,2026-08-15,,"The Deer Hunter","The Deer Hunter",https://www.imdb.com/title/tt0077416/,Movie,8.1,183,1978,"Drama, War",388666,1979-02-23,"Michael Cimino",,
483,tt0071360,2026-08-15,2026-08-15,,"The Conversation","The Conversation",https://www.imdb.com/title/tt0071360/,Movie,7.7,113,1974,"Drama, Mystery, Thriller",137169,1974-04-12,"Francis Ford Coppola",,
484,tt0251160,2026-08-15,2026-08-15,,"John Q","John Q",https://www.imdb.com/title/tt0251160/,Movie,7.1,116,2002,"Crime, Drama, Thriller",155469,2002-02-15,"Nick Cassavetes",,
485,tt0124718,2026-08-15,2026-08-15,,"He Got Game","He Got Game",https://www.imdb.com/title/tt0124718/,Movie,6.9,136,1998,"Drama, Sport",55176,1998-05-01,"Spike Lee",,
486,tt0079501,2026-08-15,2026-08-15,,"Mad Max","Mad Max",https://www.imdb.com/title/tt0079501/,Movie,6.8,88,1979,"Action, Adventure, Sci-Fi, Thriller",246543,1980-03-21,"George Miller",,
487,tt0093437,2026-08-15,2026-08-15,,"The Lost Boys","The Lost Boys",https://www.imdb.com/title/tt0093437/,Movie,7.2,97,1987,"Comedy, Horror",179649,1987-07-31,"Joel Schumacher",,
488,tt1674782,2026-08-15,2026-08-15,,"Karate Kid: Legends","Karate Kid: Legends",https://www.imdb.com/title/tt1674782/,Movie,6.3,94,2025,"Action, Drama, Family, Sport",49874,2025-05-30,"Jonathan Entwistle",,
489,tt0112697,2026-08-15,2026-08-15,,"Clueless","Clueless",https://www.imdb.com/title/tt0112697/,Movie,6.9,97,1995,"Comedy, Romance",281427,1995-07-19,"Amy Heckerling",9,2026-08-15
490,tt4348012,2026-08-18,2026-08-18,,"Mayhem","Mayhem",https://www.imdb.com/title/tt4348012/,Movie,6.4,86,2017,"Action, Comedy, Horror, Thriller",30395,2017-11-10,"Joe Lynch",,
491,tt29449992,2026-08-18,2026-08-18,,"La Snob","La Snob",https://www.imdb.com/title/tt29449992/,Short,6.9,20,2023,"Short, Drama, History",71,2023-07-23,"Kristina Lauren Anderson",,
492,tt4225622,2026-08-18,2026-08-18,,"The Babysitter","The Babysitter",https://www.imdb.com/title/tt4225622/,Movie,6.4,85,2017,"Comedy, Horror",124319,2017-10-13,"McG",,
493,tt32513789,2026-08-20,2026-08-20,,"The Universe of the Manas","The Universe of the Manas",https://www.imdb.com/title/tt32513789/,Movie,7.8,74,1995,"Fantasy",43,1995-01-01,"Melis Ubukeyev",,
494,tt8608144,2026-08-20,2026-08-20,,"The Club of Angels","O Clube dos Anjos",https://www.imdb.com/title/tt8608144/,Movie,6.4,101,2020,"Drama, Thriller",167,2022-11-03,"Angelo Defanti",,
495,tt0079944,2026-08-20,2026-08-20,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Movie,8.0,162,1979,"Drama, Sci-Fi",157568,1980-04-17,"Andrei Tarkovsky",,
496,tt0105585,2026-08-20,2026-08-20,,"Thunderheart","Thunderheart",https://www.imdb.com/title/tt0105585/,Movie,6.8,119,1992,"Crime, Mystery, Thriller",19543,1992-04-03,"Michael Apted",,
497,tt0118736,2026-08-20,2026-08-20,,"Six-String Samurai","Six-String Samurai",https://www.imdb.com/title/tt0118736/,Movie,6.4,91,1998,"Action, Adventure, Comedy, Drama, Fantasy, Music, Sci-Fi",8554,1998-09-18,"Lance Mungia",,
498,tt7468056,2026-08-20,2026-08-20,,"The Outlaws","Beomjoidosi",https://www.imdb.com/title/tt7468056/,Movie,7.2,121,2017,"Action, Crime, Thriller",16975,2017-10-06,"Yunsung Kang",,
499,tt31434030,2026-08-20,2026-08-20,,"Dracula","Dracula: A Love Tale",https://www.imdb.com/title/tt31434030/,Movie,6.2,129,2025,"Fantasy, Horror, Romance",42503,2026-02-06,"Luc Besson",,
